target,mhc_class,n_spots,n_spots_tmh,f_tmh,conf_99_low,conf_99_high
covid,I,14207,1065,0.07496304638558457,0.06938038231410973,0.08083270750141658
covid,II,14137,1199,0.08481290231307916,0.07888260211872564,0.09102481266215157
human,I,11220940,563420,0.05021147960866024,0.05004369995382994,0.05037964073851864
human,II,11118448,643885,0.05791140993778988,0.05773111824468219,0.058092080023265824
myco,I,1299707,93545,0.07197391412064412,0.07139116536367213,0.07255979868210793
myco,II,1279742,104529,0.081679744823566,0.08105730435972654,0.0823052976569314
